HintId,WordId,HintKey,Hint_es-AR,Hint_en
argentine_celebrities.messi.hint.01,argentine_celebrities.messi,hint.argentine_celebrities.messi.hint.01,Pelota,Ball
argentine_celebrities.messi.hint.02,argentine_celebrities.messi,hint.argentine_celebrities.messi.hint.02,8,8
argentine_celebrities.maradona.hint.01,argentine_celebrities.maradona,hint.argentine_celebrities.maradona.hint.01,Doping,Doping
argentine_celebrities.maradona.hint.02,argentine_celebrities.maradona,hint.argentine_celebrities.maradona.hint.02,Mujeriego,Womanizer
argentine_celebrities.lali_esposito.hint.01,argentine_celebrities.lali_esposito,hint.argentine_celebrities.lali_esposito.hint.01,Pop,Pop
argentine_celebrities.lali_esposito.hint.02,argentine_celebrities.lali_esposito,hint.argentine_celebrities.lali_esposito.hint.02,Anti Milei,Anti-Milei
argentine_celebrities.davo.hint.01,argentine_celebrities.davo,hint.argentine_celebrities.davo.hint.01,Fútbol,Soccer
argentine_celebrities.davo.hint.02,argentine_celebrities.davo,hint.argentine_celebrities.davo.hint.02,Lentes,Glasses
argentine_celebrities.duki.hint.01,argentine_celebrities.duki,hint.argentine_celebrities.duki.hint.01,Rockstar,Rockstar
argentine_celebrities.duki.hint.02,argentine_celebrities.duki,hint.argentine_celebrities.duki.hint.02,Tatuajes,Tattoos
argentine_celebrities.carito_muller.hint.01,argentine_celebrities.carito_muller,hint.argentine_celebrities.carito_muller.hint.01,Tríos,Threesomes
argentine_celebrities.carito_muller.hint.02,argentine_celebrities.carito_muller,hint.argentine_celebrities.carito_muller.hint.02,Relación abierta,Open relationship
argentine_celebrities.ricardo_darin.hint.01,argentine_celebrities.ricardo_darin,hint.argentine_celebrities.ricardo_darin.hint.01,Cine,Movies
argentine_celebrities.ricardo_darin.hint.02,argentine_celebrities.ricardo_darin,hint.argentine_celebrities.ricardo_darin.hint.02,Empanadas,Empanadas
argentine_celebrities.guillermo_francella.hint.01,argentine_celebrities.guillermo_francella,hint.argentine_celebrities.guillermo_francella.hint.01,Racing,Racing Club
argentine_celebrities.guillermo_francella.hint.02,argentine_celebrities.guillermo_francella,hint.argentine_celebrities.guillermo_francella.hint.02,Edificio,Apartment building
argentine_celebrities.susana_gimenez.hint.01,argentine_celebrities.susana_gimenez,hint.argentine_celebrities.susana_gimenez.hint.01,Teléfono,Phone
argentine_celebrities.susana_gimenez.hint.02,argentine_celebrities.susana_gimenez,hint.argentine_celebrities.susana_gimenez.hint.02,Cómica,Funny
argentine_celebrities.mirtha_legrand.hint.01,argentine_celebrities.mirtha_legrand,hint.argentine_celebrities.mirtha_legrand.hint.01,Dinosaurio,Dinosaur
argentine_celebrities.mirtha_legrand.hint.02,argentine_celebrities.mirtha_legrand,hint.argentine_celebrities.mirtha_legrand.hint.02,Polémica,Controversy
argentine_celebrities.trini_nucera.hint.01,argentine_celebrities.trini_nucera,hint.argentine_celebrities.trini_nucera.hint.01,Las Nieves,Las Nieves
argentine_celebrities.trini_nucera.hint.02,argentine_celebrities.trini_nucera,hint.argentine_celebrities.trini_nucera.hint.02,Peleas,Fights
argentine_celebrities.china_suarez.hint.01,argentine_celebrities.china_suarez,hint.argentine_celebrities.china_suarez.hint.01,Roba cunas,Cradle robber
argentine_celebrities.china_suarez.hint.02,argentine_celebrities.china_suarez,hint.argentine_celebrities.china_suarez.hint.02,Hombres,Men
argentine_celebrities.pampita.hint.01,argentine_celebrities.pampita,hint.argentine_celebrities.pampita.hint.01,Perfecta,Perfect
argentine_celebrities.pampita.hint.02,argentine_celebrities.pampita,hint.argentine_celebrities.pampita.hint.02,Cornuda,Cheated on
argentine_celebrities.martin_cirio.hint.01,argentine_celebrities.martin_cirio,hint.argentine_celebrities.martin_cirio.hint.01,Chismes,Gossip
argentine_celebrities.martin_cirio.hint.02,argentine_celebrities.martin_cirio,hint.argentine_celebrities.martin_cirio.hint.02,Gay,Gay
argentine_celebrities.albere.hint.01,argentine_celebrities.albere,hint.argentine_celebrities.albere.hint.01,Villeros,Ghetto
argentine_celebrities.albere.hint.02,argentine_celebrities.albere,hint.argentine_celebrities.albere.hint.02,Embarazo,Pregnancy
argentine_celebrities.wanda_nara.hint.01,argentine_celebrities.wanda_nara,hint.argentine_celebrities.wanda_nara.hint.01,Show,Show
argentine_celebrities.wanda_nara.hint.02,argentine_celebrities.wanda_nara,hint.argentine_celebrities.wanda_nara.hint.02,Bananero,Bananero
argentine_celebrities.moria_casan.hint.01,argentine_celebrities.moria_casan,hint.argentine_celebrities.moria_casan.hint.01,Rating,Ratings
argentine_celebrities.moria_casan.hint.02,argentine_celebrities.moria_casan,hint.argentine_celebrities.moria_casan.hint.02,Memes,Memes
argentine_celebrities.julian_alvarez.hint.01,argentine_celebrities.julian_alvarez,hint.argentine_celebrities.julian_alvarez.hint.01,Campeón,World champion
argentine_celebrities.angel_di_maria.hint.01,argentine_celebrities.angel_di_maria,hint.argentine_celebrities.angel_di_maria.hint.01,Pasta,Pasta
argentine_celebrities.angel_di_maria.hint.02,argentine_celebrities.angel_di_maria,hint.argentine_celebrities.angel_di_maria.hint.02,Narigón,Big nose
argentine_celebrities.bananero.hint.01,argentine_celebrities.bananero,hint.argentine_celebrities.bananero.hint.01,Semen,Semen
argentine_celebrities.bananero.hint.02,argentine_celebrities.bananero,hint.argentine_celebrities.bananero.hint.02,Cerveza,Beer
argentine_celebrities.ricardo_fort.hint.01,argentine_celebrities.ricardo_fort,hint.argentine_celebrities.ricardo_fort.hint.01,Rolls-Royce,Rolls-Royce
