Key,Context,IsSmartString,es-AR,en
ui.brand.title,Marca principal del juego,false,IMPOSTOR DEFINITIVO,DEFINITIVE IMPOSTOR
ui.initial.play,Botón de la pantalla inicial,false,JUGAR,PLAY
ui.setup.title,Título del menú de configuración,false,Configurá tu partida,Set Up Your Game
ui.setup.subtitle,Subtítulo del menú de configuración,false,Configuración,Settings
ui.setup.impostors,Acceso a configuración de impostores,false,Configurar Impostores,Set Up Impostors
ui.setup.impostors.subtitle,Resumen de configuración de impostores,false,Cantidad de impostores,Number of impostors
ui.setup.players,Acceso a configuración de jugadores,false,Configurar Jugadores,Set Up Players
ui.setup.players.subtitle,Resumen de configuración de jugadores,false,Añadir nombres de jugadores,Add player names
ui.setup.categories,Acceso a selección de categorías,false,Seleccionar Categorías,Select Categories
ui.setup.categories.subtitle,Resumen de categorías,false,Configuraciones de palabras,Word settings
ui.setup.start,Botón que inicia la partida,false,¡Iniciar partida!,Start Game!
ui.common.back_menu,Botón para volver al menú,false,Volver al Menú,Back to Menu
ui.common.back,Botón para volver a la pantalla anterior,false,Volver,Back
ui.common.clear,Botón para desmarcar todas las opciones,false,Limpiar,Clear
ui.common.all,Botón para seleccionar todas las opciones,false,Todo,All
ui.common.description,Botón o título de descripción,false,Descripción,Description
ui.impostors.title,Título de configuración de impostores,false,Impostor,Impostor
ui.impostors.subtitle,Subtítulo de configuración de impostores,false,Ajustá las reglas del Impostor,Tweak the Impostor rules
ui.impostors.count_label,Etiqueta de cantidad de impostores,false,Número de impostores,Number of impostors
ui.impostors.count_help,Ayuda de cantidad de impostores,false,Cuántos impostores habrá en la partida,How many impostors will be in the game
ui.impostors.hints_label,Etiqueta del interruptor de pistas,false,Pista para impostores,Hints for impostors
ui.impostors.hints_help,Ayuda del interruptor de pistas,false,Los impostores recibirán pistas,Impostors will receive hints
ui.players.title,Título de configuración de jugadores,false,Jugadores,Players
ui.players.subtitle,Subtítulo de configuración de jugadores,false,Añadir nombres de jugadores,Add player names
ui.players.list_label,Etiqueta de la lista de jugadores,false,Jugadores,Players
ui.players.name_placeholder,Placeholder del campo de nombre,false,Nombre...,Name...
ui.players.empty_title,Título cuando no hay jugadores,false,No hay jugadores aún,No players yet
ui.players.empty_help,Ayuda cuando no hay jugadores,false,Agregá al menos 3 jugadores para comenzar,Add at least 3 players to start
ui.players.reroll_label,Etiqueta de cambio de palabra,false,Cambiar palabra,Change word
ui.players.reroll_help,Ayuda de cambio de palabra,false,Los civiles pueden cambiar la palabra,Civilians can change the word
ui.categories.title,Título de selección de categorías,false,Categorías,Categories
ui.categories.subtitle,Subtítulo de selección de categorías,false,Configuraciones de palabras,Word settings
ui.categories.list_label,Etiqueta de lista de categorías,false,Categorías,Categories
ui.categories.selected_count,Cantidad de categorías seleccionadas,true,{count} seleccionadas,{count} selected
ui.reveal_selection.title,Título de selección del jugador a revelar,false,¡A JUGAR!,LET'S PLAY!
ui.reveal_selection.subtitle,Instrucción de selección del jugador,false,"Tocá tu nombre para revelar tu palabra,
después pasá el dispositivo al siguiente jugador.","Tap your name to reveal your word,
then pass the device to the next player."
ui.reveal_selection.counter,Contador de jugadores revelados,true,{revealed}/{total} revelados,{revealed}/{total} revealed
ui.reveal.hidden_title,Instrucción para revelar el rol,false,Toca para revelar,Tap to reveal
ui.reveal.privacy,Advertencia de privacidad al revelar,false,Que nadie más vea la pantalla,Make sure nobody else sees the screen
ui.reveal.player_counter,Contador del jugador actual,true,Jugador {current}/{total},Player {current}/{total}
ui.reveal.category,Categoría revelada,true,Categoría: {category},Category: {category}
ui.reveal.role.impostor,Rol del jugador impostor,false,Impostor,Impostor
ui.reveal.hint,Pista revelada al impostor,true,Pista: {hint},Hint: {hint}
ui.reveal.next,Botón para pasar al siguiente jugador,false,Siguiente jugador,Next player
ui.reveal.reroll,Botón para cambiar la palabra,false,Cambiar palabra,Change word
ui.description.no_word,Mensaje si no existe una palabra actual,false,No hay una palabra cargada.,No word is currently loaded.
ui.description.missing,Respaldo si una palabra no tiene descripción,true,{word}: todavía no tiene una descripción cargada.,{word} does not have a description yet.
